Match_ID,Player,Team,Runs,Balls,Strike_Rate,Wickets,Venue
M00126,Ruturaj Gaikwad,CSK,72,35,205.71,1,Eden Gardens
M00127,Virat Kohli,RCB,47,8,587.5,1,Chinnaswamy
M00128,Shubman Gill,GT,50,32,156.25,0,Chepauk
M00129,Shubman Gill,GT,21,29,72.41,2,Eden Gardens
M00130,Ruturaj Gaikwad,CSK,0,38,0.0,3,Wankhede
M00131,Ruturaj Gaikwad,CSK,62,44,140.91,3,Chinnaswamy
M00132,Rohit Sharma,MI,64,14,457.14,3,Eden Gardens
M00133,KL Rahul,LSG,69,20,345.0,1,Chepauk
M00134,KL Rahul,LSG,11,34,32.35,1,Chinnaswamy
M00135,Jasprit Bumrah,MI,63,20,315.0,0,Chinnaswamy
M00136,KL Rahul,LSG,33,41,80.49,1,Wankhede
M00137,Shubman Gill,GT,39,19,205.26,3,Chinnaswamy
M00138,Surya Kumar Yadav,MI,44,46,95.65,0,Eden Gardens
M00139,Shubman Gill,GT,47,25,188.0,0,Eden Gardens
M00140,Jasprit Bumrah,MI,8,42,19.05,1,Chepauk
M00141,Virat Kohli,RCB,51,28,182.14,1,Chepauk
M00142,KL Rahul,LSG,0,15,0.0,0,Chepauk
M00143,Surya Kumar Yadav,MI,28,1,2800.0,3,Chepauk
M00144,Shubman Gill,GT,20,39,51.28,2,Chepauk
M00145,Rohit Sharma,MI,46,25,184.0,1,Wankhede
M00146,Surya Kumar Yadav,MI,57,24,237.5,0,Chinnaswamy
M00147,Surya Kumar Yadav,MI,30,30,100.0,0,Wankhede
M00148,Jasprit Bumrah,MI,63,15,420.0,3,Chinnaswamy
M00149,Virat Kohli,RCB,67,43,155.81,1,Eden Gardens
M00150,Ruturaj Gaikwad,CSK,0,13,0.0,3,Chepauk
M00151,Ravindra Jadeja,CSK,0,22,0.0,0,Chinnaswamy
M00152,Jasprit Bumrah,MI,25,14,178.57,3,Chepauk
M00153,Surya Kumar Yadav,MI,34,17,200.0,2,Chepauk
M00154,Surya Kumar Yadav,MI,22,15,146.67,1,Wankhede
M00155,KL Rahul,LSG,37,24,154.17,0,Eden Gardens
M00156,Ruturaj Gaikwad,CSK,9,25,36.0,3,Eden Gardens
M00157,Virat Kohli,RCB,34,34,100.0,3,Wankhede
M00158,Surya Kumar Yadav,MI,48,2,2400.0,1,Chinnaswamy
M00159,Ravindra Jadeja,CSK,55,10,550.0,1,Wankhede
M00160,Rohit Sharma,MI,21,32,65.62,0,Chinnaswamy
M00161,KL Rahul,LSG,4,28,14.29,2,Chinnaswamy
M00162,Surya Kumar Yadav,MI,58,36,161.11,0,Eden Gardens
M00163,Surya Kumar Yadav,MI,0,27,0.0,0,Chinnaswamy
M00164,Shubman Gill,GT,0,16,0.0,0,Chinnaswamy
M00165,Ruturaj Gaikwad,CSK,0,15,0.0,0,Chepauk
M00166,Shubman Gill,GT,63,8,787.5,0,Wankhede
M00167,Shubman Gill,GT,8,49,16.33,0,Chepauk
M00168,Ravindra Jadeja,CSK,75,34,220.59,0,Wankhede
M00169,Rohit Sharma,MI,64,30,213.33,1,Chepauk
M00170,Ruturaj Gaikwad,CSK,38,35,108.57,0,Chinnaswamy
M00171,Shubman Gill,GT,0,29,0.0,0,Chepauk
M00172,Surya Kumar Yadav,MI,51,31,164.52,1,Eden Gardens
M00173,Ruturaj Gaikwad,CSK,38,13,292.31,0,Wankhede
M00174,Virat Kohli,RCB,25,24,104.17,0,Eden Gardens
M00175,KL Rahul,LSG,51,29,175.86,2,Chepauk
M00176,Surya Kumar Yadav,MI,30,13,230.77,1,Wankhede
M00177,Surya Kumar Yadav,MI,36,15,240.0,0,Chinnaswamy
M00178,Shubman Gill,GT,7,23,30.43,0,Wankhede
M00179,Virat Kohli,RCB,50,7,714.29,3,Eden Gardens
M00180,Ruturaj Gaikwad,CSK,0,42,0.0,0,Wankhede
M00181,Ruturaj Gaikwad,CSK,19,27,70.37,0,Chinnaswamy
M00182,Shubman Gill,GT,17,21,80.95,0,Eden Gardens
M00183,Rohit Sharma,MI,57,40,142.5,0,Chepauk
M00184,Virat Kohli,RCB,53,39,135.9,0,Chinnaswamy
M00185,Ravindra Jadeja,CSK,47,33,142.42,0,Wankhede
M00186,Ruturaj Gaikwad,CSK,58,24,241.67,0,Chepauk
M00187,Ruturaj Gaikwad,CSK,40,22,181.82,0,Chepauk
M00188,Ravindra Jadeja,CSK,23,14,164.29,3,Wankhede
M00189,KL Rahul,LSG,42,13,323.08,1,Chepauk
M00190,Virat Kohli,RCB,39,29,134.48,0,Chepauk
M00191,Shubman Gill,GT,25,24,104.17,0,Wankhede
M00192,Shubman Gill,GT,57,28,203.57,0,Chinnaswamy
M00193,Ruturaj Gaikwad,CSK,40,24,166.67,3,Eden Gardens
M00194,Surya Kumar Yadav,MI,58,17,341.18,1,Chinnaswamy
M00195,Jasprit Bumrah,MI,89,37,240.54,0,Eden Gardens
M00196,Rohit Sharma,MI,42,17,247.06,1,Eden Gardens
M00197,Surya Kumar Yadav,MI,5,14,35.71,1,Chinnaswamy
M00198,Shubman Gill,GT,54,39,138.46,3,Chinnaswamy
M00199,Ravindra Jadeja,CSK,0,26,0.0,0,Chinnaswamy
M00200,Shubman Gill,GT,43,34,126.47,2,Eden Gardens
M00201,Rohit Sharma,MI,26,22,118.18,3,Chepauk
M00202,Shubman Gill,GT,64,33,193.94,0,Chepauk
M00203,Surya Kumar Yadav,MI,11,16,68.75,0,Chepauk
M00204,Ruturaj Gaikwad,CSK,29,12,241.67,2,Chepauk
M00205,Shubman Gill,GT,2,27,7.41,3,Eden Gardens
M00206,Surya Kumar Yadav,MI,0,21,0.0,2,Eden Gardens
M00207,Surya Kumar Yadav,MI,22,27,81.48,1,Chinnaswamy
M00208,Jasprit Bumrah,MI,3,22,13.64,3,Chepauk
M00209,Jasprit Bumrah,MI,91,24,379.17,1,Wankhede
M00210,Rohit Sharma,MI,89,32,278.12,2,Wankhede
M00211,Jasprit Bumrah,MI,39,19,205.26,2,Chepauk
M00212,Jasprit Bumrah,MI,36,25,144.0,0,Wankhede
M00213,Ravindra Jadeja,CSK,13,23,56.52,3,Eden Gardens
M00214,Ruturaj Gaikwad,CSK,39,12,325.0,2,Chinnaswamy
M00215,Ravindra Jadeja,CSK,67,39,171.79,2,Chepauk
M00216,Shubman Gill,GT,70,20,350.0,1,Chinnaswamy
M00217,Ruturaj Gaikwad,CSK,0,36,0.0,1,Chepauk
M00218,Virat Kohli,RCB,15,30,50.0,0,Wankhede
M00219,Ruturaj Gaikwad,CSK,30,11,272.73,3,Chepauk
M00220,Rohit Sharma,MI,86,38,226.32,1,Wankhede
M00221,Ravindra Jadeja,CSK,68,16,425.0,3,Chepauk
M00222,Shubman Gill,GT,32,17,188.24,2,Chinnaswamy
M00223,Surya Kumar Yadav,MI,0,26,0.0,1,Eden Gardens
M00224,Jasprit Bumrah,MI,23,1,2300.0,0,Chepauk
M00225,Shubman Gill,GT,42,27,155.56,0,Wankhede
M00226,KL Rahul,LSG,45,20,225.0,0,Chepauk
M00227,Shubman Gill,GT,62,21,295.24,2,Wankhede
M00228,Shubman Gill,GT,67,24,279.17,2,Chepauk
M00229,Shubman Gill,GT,38,32,118.75,3,Wankhede
M00230,Ravindra Jadeja,CSK,16,23,69.57,0,Chepauk
M00231,KL Rahul,LSG,35,30,116.67,3,Chepauk
M00232,KL Rahul,LSG,33,38,86.84,1,Chepauk
M00233,Surya Kumar Yadav,MI,49,12,408.33,3,Chepauk
M00234,Jasprit Bumrah,MI,51,32,159.38,0,Chinnaswamy
M00235,Rohit Sharma,MI,49,35,140.0,0,Wankhede
M00236,KL Rahul,LSG,51,12,425.0,0,Chepauk
M00237,Virat Kohli,RCB,0,5,0.0,3,Chinnaswamy
M00238,Rohit Sharma,MI,28,35,80.0,0,Chinnaswamy
M00239,Surya Kumar Yadav,MI,48,29,165.52,0,Chinnaswamy
M00240,Rohit Sharma,MI,16,22,72.73,2,Eden Gardens
M00241,Ruturaj Gaikwad,CSK,28,28,100.0,3,Eden Gardens
M00242,KL Rahul,LSG,36,37,97.3,0,Chepauk
M00243,KL Rahul,LSG,0,45,0.0,3,Chepauk
M00244,Ruturaj Gaikwad,CSK,30,18,166.67,0,Chinnaswamy
M00245,Ruturaj Gaikwad,CSK,51,10,510.0,0,Wankhede
M00246,Shubman Gill,GT,52,30,173.33,1,Eden Gardens
M00247,Jasprit Bumrah,MI,64,18,355.56,2,Wankhede
M00248,Ravindra Jadeja,CSK,26,18,144.44,1,Eden Gardens
M00249,Shubman Gill,GT,66,5,1320.0,2,Chinnaswamy
M00250,Surya Kumar Yadav,MI,5,39,12.82,0,Wankhede
M00251,KL Rahul,LSG,44,24,183.33,0,Chinnaswamy
M00252,Surya Kumar Yadav,MI,24,37,64.86,3,Wankhede
M00253,Shubman Gill,GT,61,14,435.71,3,Wankhede
M00254,Surya Kumar Yadav,MI,0,29,0.0,3,Wankhede
M00255,Shubman Gill,GT,28,37,75.68,0,Chepauk
M00256,Virat Kohli,RCB,16,31,51.61,0,Wankhede
M00257,Ruturaj Gaikwad,CSK,50,15,333.33,1,Chepauk
M00258,KL Rahul,LSG,46,43,106.98,1,Chepauk
M00259,Ruturaj Gaikwad,CSK,60,38,157.89,0,Chinnaswamy
M00260,Surya Kumar Yadav,MI,9,33,27.27,1,Wankhede
M00261,Ruturaj Gaikwad,CSK,45,40,112.5,2,Chinnaswamy
M00262,Rohit Sharma,MI,0,17,0.0,2,Chinnaswamy
M00263,Rohit Sharma,MI,0,38,0.0,1,Chinnaswamy
M00264,Shubman Gill,GT,28,12,233.33,3,Eden Gardens
M00265,Shubman Gill,GT,55,23,239.13,2,Wankhede
M00266,Ravindra Jadeja,CSK,9,31,29.03,1,Chinnaswamy
M00267,Ravindra Jadeja,CSK,40,19,210.53,1,Eden Gardens
M00268,Surya Kumar Yadav,MI,25,29,86.21,3,Wankhede
M00269,Ravindra Jadeja,CSK,38,52,73.08,0,Chinnaswamy
M00270,Surya Kumar Yadav,MI,68,37,183.78,0,Chepauk
M00271,Virat Kohli,RCB,45,17,264.71,0,Wankhede
M00272,Rohit Sharma,MI,67,15,446.67,0,Wankhede
M00273,Virat Kohli,RCB,3,12,25.0,2,Chepauk
M00274,KL Rahul,LSG,0,37,0.0,0,Chepauk
M00275,Rohit Sharma,MI,11,30,36.67,3,Chinnaswamy
M00276,Virat Kohli,RCB,22,30,73.33,3,Eden Gardens
M00277,Jasprit Bumrah,MI,77,34,226.47,2,Chinnaswamy
M00278,Shubman Gill,GT,17,21,80.95,0,Chepauk
M00279,Jasprit Bumrah,MI,48,32,150.0,1,Wankhede
M00280,Ravindra Jadeja,CSK,0,11,0.0,3,Eden Gardens
M00281,Surya Kumar Yadav,MI,45,24,187.5,1,Eden Gardens
M00282,Surya Kumar Yadav,MI,24,16,150.0,0,Wankhede
M00283,Surya Kumar Yadav,MI,51,26,196.15,2,Eden Gardens
M00284,Ruturaj Gaikwad,CSK,0,16,0.0,0,Wankhede
M00285,Ruturaj Gaikwad,CSK,64,37,172.97,2,Eden Gardens
M00286,KL Rahul,LSG,21,24,87.5,1,Wankhede
M00287,KL Rahul,LSG,42,21,200.0,0,Wankhede
M00288,KL Rahul,LSG,30,27,111.11,2,Chinnaswamy
M00289,Virat Kohli,RCB,25,39,64.1,1,Wankhede
M00290,Ruturaj Gaikwad,CSK,0,19,0.0,0,Eden Gardens
M00291,Surya Kumar Yadav,MI,34,25,136.0,1,Chepauk
M00292,Ravindra Jadeja,CSK,10,11,90.91,0,Chepauk
M00293,Rohit Sharma,MI,35,39,89.74,0,Chepauk
M00294,Rohit Sharma,MI,20,27,74.07,1,Chepauk
M00295,Ruturaj Gaikwad,CSK,28,45,62.22,0,Chinnaswamy
M00296,Shubman Gill,GT,61,19,321.05,3,Eden Gardens
M00297,Jasprit Bumrah,MI,59,23,256.52,0,Chepauk
M00298,Ravindra Jadeja,CSK,22,40,55.0,2,Chepauk
M00299,Rohit Sharma,MI,15,8,187.5,1,Wankhede
M00300,Jasprit Bumrah,MI,20,19,105.26,2,Eden Gardens
M00301,Rohit Sharma,MI,24,29,82.76,0,Eden Gardens
M00302,Ravindra Jadeja,CSK,58,12,483.33,2,Chinnaswamy
M00303,Rohit Sharma,MI,50,21,238.1,0,Wankhede
M00304,Surya Kumar Yadav,MI,49,7,700.0,0,Wankhede
M00305,Ravindra Jadeja,CSK,25,27,92.59,0,Chepauk
M00306,KL Rahul,LSG,9,29,31.03,1,Eden Gardens
M00307,Rohit Sharma,MI,0,36,0.0,2,Wankhede
M00308,Surya Kumar Yadav,MI,14,59,23.73,0,Eden Gardens
M00309,Jasprit Bumrah,MI,57,22,259.09,2,Chinnaswamy
M00310,KL Rahul,LSG,78,24,325.0,0,Eden Gardens
M00311,KL Rahul,LSG,62,16,387.5,0,Wankhede
M00312,Surya Kumar Yadav,MI,59,21,280.95,3,Eden Gardens
M00313,Ruturaj Gaikwad,CSK,45,31,145.16,2,Chinnaswamy
M00314,KL Rahul,LSG,21,37,56.76,1,Eden Gardens
M00315,Ravindra Jadeja,CSK,4,13,30.77,0,Chinnaswamy
M00316,Ruturaj Gaikwad,CSK,15,35,42.86,0,Chinnaswamy
M00317,Jasprit Bumrah,MI,13,34,38.24,3,Chinnaswamy
M00318,Rohit Sharma,MI,22,24,91.67,1,Eden Gardens
M00319,Surya Kumar Yadav,MI,33,7,471.43,1,Chinnaswamy
M00320,KL Rahul,LSG,18,41,43.9,1,Wankhede
M00321,Ruturaj Gaikwad,CSK,53,33,160.61,1,Chepauk
M00322,Ravindra Jadeja,CSK,40,21,190.48,0,Eden Gardens
M00323,Jasprit Bumrah,MI,12,30,40.0,2,Chepauk
M00324,KL Rahul,LSG,65,34,191.18,3,Wankhede
M00325,Surya Kumar Yadav,MI,47,31,151.61,2,Eden Gardens
M00326,Jasprit Bumrah,MI,0,30,0.0,3,Chepauk
M00327,KL Rahul,LSG,26,33,78.79,1,Chepauk
M00328,Ruturaj Gaikwad,CSK,30,29,103.45,0,Chinnaswamy
M00329,Shubman Gill,GT,29,15,193.33,3,Chinnaswamy
M00330,Surya Kumar Yadav,MI,106,24,441.67,0,Eden Gardens
M00331,Ruturaj Gaikwad,CSK,81,41,197.56,2,Chepauk
M00332,Ruturaj Gaikwad,CSK,29,21,138.1,0,Eden Gardens
M00333,Ravindra Jadeja,CSK,0,1,0.0,1,Chepauk
M00334,Rohit Sharma,MI,30,45,66.67,3,Chepauk
M00335,Ruturaj Gaikwad,CSK,39,21,185.71,1,Eden Gardens
M00336,Rohit Sharma,MI,41,20,205.0,1,Eden Gardens
M00337,Virat Kohli,RCB,10,43,23.26,0,Chinnaswamy
M00338,Shubman Gill,GT,42,20,210.0,1,Chepauk
M00339,Ruturaj Gaikwad,CSK,48,38,126.32,0,Chepauk
M00340,KL Rahul,LSG,54,32,168.75,0,Chinnaswamy
M00341,KL Rahul,LSG,28,21,133.33,1,Wankhede
M00342,Ruturaj Gaikwad,CSK,54,24,225.0,1,Chinnaswamy
M00343,Jasprit Bumrah,MI,26,29,89.66,1,Wankhede
M00344,Virat Kohli,RCB,8,38,21.05,3,Chepauk
M00345,Virat Kohli,RCB,81,31,261.29,3,Chepauk
M00346,Shubman Gill,GT,35,24,145.83,0,Chepauk
M00347,KL Rahul,LSG,57,26,219.23,1,Chinnaswamy
M00348,Shubman Gill,GT,78,15,520.0,0,Chepauk
M00349,Surya Kumar Yadav,MI,53,34,155.88,0,Chepauk
M00350,Rohit Sharma,MI,48,22,218.18,3,Chinnaswamy
M00351,Surya Kumar Yadav,MI,35,26,134.62,1,Chepauk
M00352,Ruturaj Gaikwad,CSK,55,19,289.47,0,Wankhede
M00353,Ruturaj Gaikwad,CSK,0,25,0.0,1,Wankhede
M00354,Surya Kumar Yadav,MI,44,20,220.0,0,Eden Gardens
M00355,Shubman Gill,GT,50,35,142.86,0,Chepauk
M00356,Ruturaj Gaikwad,CSK,43,41,104.88,3,Chepauk
M00357,Jasprit Bumrah,MI,15,8,187.5,3,Chinnaswamy
M00358,Ruturaj Gaikwad,CSK,0,18,0.0,3,Eden Gardens
M00359,Shubman Gill,GT,0,27,0.0,1,Chinnaswamy
M00360,Jasprit Bumrah,MI,49,32,153.12,3,Wankhede
M00361,Jasprit Bumrah,MI,59,26,226.92,3,Wankhede
M00362,Ravindra Jadeja,CSK,0,19,0.0,1,Eden Gardens
M00363,Shubman Gill,GT,75,37,202.7,1,Wankhede
M00364,Ravindra Jadeja,CSK,7,15,46.67,1,Chepauk
M00365,Ravindra Jadeja,CSK,42,32,131.25,1,Chinnaswamy
M00366,KL Rahul,LSG,14,23,60.87,1,Chinnaswamy
M00367,KL Rahul,LSG,86,49,175.51,0,Chepauk
M00368,Rohit Sharma,MI,67,3,2233.33,1,Chinnaswamy
M00369,KL Rahul,LSG,78,17,458.82,0,Eden Gardens
M00370,Virat Kohli,RCB,39,32,121.88,2,Chepauk
M00371,Ruturaj Gaikwad,CSK,12,36,33.33,1,Chinnaswamy
M00372,Shubman Gill,GT,2,36,5.56,0,Eden Gardens
M00373,Jasprit Bumrah,MI,17,36,47.22,2,Chepauk
M00374,Ruturaj Gaikwad,CSK,14,15,93.33,0,Chinnaswamy
M00375,Shubman Gill,GT,30,20,150.0,2,Wankhede
M00376,Surya Kumar Yadav,MI,45,14,321.43,2,Chepauk
M00377,Jasprit Bumrah,MI,0,29,0.0,2,Chinnaswamy
M00378,Shubman Gill,GT,19,32,59.38,1,Chinnaswamy
M00379,KL Rahul,LSG,36,26,138.46,1,Chepauk
M00380,Ruturaj Gaikwad,CSK,17,27,62.96,1,Eden Gardens
M00381,KL Rahul,LSG,8,19,42.11,0,Chepauk
M00382,Ruturaj Gaikwad,CSK,48,26,184.62,1,Wankhede
M00383,Virat Kohli,RCB,31,17,182.35,1,Chinnaswamy
M00384,Surya Kumar Yadav,MI,28,20,140.0,0,Wankhede
M00385,Ravindra Jadeja,CSK,44,16,275.0,0,Wankhede
M00386,Jasprit Bumrah,MI,29,5,580.0,3,Wankhede
M00387,KL Rahul,LSG,15,15,100.0,2,Chepauk
M00388,Ruturaj Gaikwad,CSK,48,38,126.32,0,Wankhede
M00389,Jasprit Bumrah,MI,59,1,5900.0,2,Chepauk
M00390,Ravindra Jadeja,CSK,29,20,145.0,0,Wankhede
M00391,KL Rahul,LSG,71,25,284.0,0,Eden Gardens
M00392,KL Rahul,LSG,66,34,194.12,2,Wankhede
M00393,Surya Kumar Yadav,MI,54,28,192.86,1,Chinnaswamy
M00394,Virat Kohli,RCB,65,21,309.52,3,Eden Gardens
M00395,Shubman Gill,GT,16,39,41.03,1,Chinnaswamy
M00396,Virat Kohli,RCB,39,12,325.0,1,Eden Gardens
M00397,Ruturaj Gaikwad,CSK,66,41,160.98,1,Wankhede
M00398,Rohit Sharma,MI,15,29,51.72,0,Eden Gardens
M00399,Surya Kumar Yadav,MI,48,39,123.08,3,Eden Gardens
M00400,Jasprit Bumrah,MI,33,8,412.5,0,Chepauk
M00401,Virat Kohli,RCB,13,31,41.94,0,Eden Gardens
